"filename", "language", "PLSQL", "XML", "C#", "JSON", "Properties", "JSON with Comments", "Markdown", "SCSS", "HTML", "TypeScript", "comment", "blank", "total"
"d:\Jobs\NAPA group\backend\MaritimeApp.Application\Class1.cs", "C#", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"d:\Jobs\NAPA group\backend\MaritimeApp.Application\DTO\ShipDto.cs", "C#", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\Jobs\NAPA group\backend\MaritimeApp.Application\MaritimeApp.Application.csproj", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"d:\Jobs\NAPA group\backend\MaritimeApp.Application\bin\Debug\net9.0\MaritimeApp.Application.deps.json", "JSON", 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 129
"d:\Jobs\NAPA group\backend\MaritimeApp.Application\obj\Debug\net9.0\.NETCoreApp,Version=v9.0.AssemblyAttributes.cs", "C#", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"d:\Jobs\NAPA group\backend\MaritimeApp.Application\obj\Debug\net9.0\MaritimeApp.Application.AssemblyInfo.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9, 5, 23
"d:\Jobs\NAPA group\backend\MaritimeApp.Application\obj\Debug\net9.0\MaritimeApp.Application.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 1, 16
"d:\Jobs\NAPA group\backend\MaritimeApp.Application\obj\Debug\net9.0\MaritimeApp.Application.GlobalUsings.g.cs", "C#", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9
"d:\Jobs\NAPA group\backend\MaritimeApp.Application\obj\Debug\net9.0\MaritimeApp.Application.sourcelink.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Jobs\NAPA group\backend\MaritimeApp.Application\obj\MaritimeApp.Application.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 150
"d:\Jobs\NAPA group\backend\MaritimeApp.Application\obj\MaritimeApp.Application.csproj.nuget.g.props", "XML", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23
"d:\Jobs\NAPA group\backend\MaritimeApp.Application\obj\MaritimeApp.Application.csproj.nuget.g.targets", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\Jobs\NAPA group\backend\MaritimeApp.Application\obj\project.assets.json", "JSON", 0, 0, 0, 523, 0, 0, 0, 0, 0, 0, 0, 0, 523
"d:\Jobs\NAPA group\backend\MaritimeApp.Domain\Class1.cs", "C#", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"d:\Jobs\NAPA group\backend\MaritimeApp.Domain\Entities\Company.cs", "C#", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\Jobs\NAPA group\backend\MaritimeApp.Domain\Entities\Country.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\Jobs\NAPA group\backend\MaritimeApp.Domain\Entities\Port.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\Jobs\NAPA group\backend\MaritimeApp.Domain\Entities\Ship.cs", "C#", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"d:\Jobs\NAPA group\backend\MaritimeApp.Domain\Entities\ShipCompanyRelation.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15
"d:\Jobs\NAPA group\backend\MaritimeApp.Domain\Entities\ShipLocationLog.cs", "C#", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
